customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn,tenure_band,charge_band,num_services,lifetime_value,churn_label
4785-NKHCX,Male,1,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),20.05,94.15,0,0–12 mo,Low,0,100.25,Retained
3196-NVXLZ,Female,0,0,0,25,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Mailed check,84.6,2088.05,0,25–36 mo,High,1,2115.0,Retained
6275-YDUVO,Female,0,0,0,2,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,1,Mailed check,86.2,178.7,1,0–12 mo,High,2,172.4,Churned
0036-IHMOT,Female,0,1,1,55,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Bank transfer (automatic),103.7,5656.75,0,49–60 mo,Premium,5,5703.5,Retained
0115-TFERT,Male,0,1,0,21,1,1,Fiber optic,0,1,1,1,1,1,Month-to-month,1,Electronic check,111.2,2317.1,1,13–24 mo,Premium,5,2335.2000000000003,Churned
4178-EGMON,Male,0,1,0,70,1,1,Fiber optic,1,1,0,1,0,0,Two year,1,Credit card (automatic),88.0,5986.45,0,61–72 mo,High,3,6160.0,Retained
4220-TINQT,Female,0,1,0,61,1,1,Fiber optic,0,0,1,1,1,1,Month-to-month,1,Electronic check,106.35,6751.35,0,61–72 mo,Premium,4,6487.349999999999,Retained
5318-YKDPV,Male,0,1,1,43,1,0,DSL,1,0,1,1,1,1,Two year,1,Credit card (automatic),79.15,3566.6,0,37–48 mo,High,5,3403.4500000000003,Retained
7975-TZMLR,Male,0,0,0,47,1,1,Fiber optic,0,1,1,0,1,1,One year,1,Electronic check,103.1,4889.3,0,37–48 mo,Premium,4,4845.7,Retained
0295-QVKPB,Male,0,0,0,5,1,0,DSL,0,0,1,1,1,0,Month-to-month,1,Credit card (automatic),63.95,318.1,0,0–12 mo,Medium,3,319.75,Retained
4335-BSMJS,Female,0,0,0,62,1,1,No,0,0,0,0,0,0,Two year,1,Credit card (automatic),25.8,1563.95,0,61–72 mo,Low,0,1599.6000000000001,Retained
2311-QYMUQ,Female,0,1,1,16,1,0,Fiber optic,0,1,1,0,1,0,Month-to-month,1,Credit card (automatic),89.45,1430.25,1,13–24 mo,High,3,1431.2,Churned
3643-AHCFP,Male,1,1,0,7,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Bank transfer (automatic),95.6,644.35,1,0–12 mo,Premium,2,669.1999999999999,Churned
9146-JRIOX,Female,0,1,1,14,1,1,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,25.55,372.45,0,13–24 mo,Low,0,357.7,Retained
3104-OWCGK,Male,0,1,1,60,1,0,Fiber optic,0,1,1,0,1,0,One year,0,Electronic check,90.95,5453.4,1,49–60 mo,High,3,5457.0,Churned
5337-IIWKZ,Male,0,1,1,34,0,0,DSL,0,0,1,1,1,0,Month-to-month,1,Electronic check,44.85,1442.6,0,25–36 mo,Medium,3,1524.9,Retained
9101-BWFSS,Female,0,1,0,50,1,1,Fiber optic,1,1,0,1,1,1,One year,0,Electronic check,108.55,5610.7,1,49–60 mo,Premium,5,5427.5,Churned
9650-VBUOG,Male,0,1,1,38,1,1,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),25.05,963.95,0,37–48 mo,Low,0,951.9,Retained
3487-EARAT,Female,0,1,1,70,1,0,DSL,1,1,1,1,0,1,One year,0,Credit card (automatic),74.1,5222.3,0,61–72 mo,High,5,5187.0,Retained
2672-TGEFF,Female,0,1,1,37,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,88.8,3340.55,0,37–48 mo,High,2,3285.6,Retained
9231-ZJYAM,Female,1,0,0,4,1,0,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,78.85,292.8,1,0–12 mo,High,1,315.4,Churned
4250-WAROZ,Male,1,1,1,60,1,1,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Electronic check,93.25,5774.55,0,49–60 mo,High,3,5595.0,Retained
8184-WMOFI,Male,0,1,1,62,1,0,DSL,1,0,1,1,0,1,One year,0,Credit card (automatic),71.4,4487.3,0,61–72 mo,High,4,4426.8,Retained
6982-SSHFK,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,44.4,44.4,1,0–12 mo,Medium,0,44.4,Churned
6092-QZVPP,Male,0,0,0,36,1,0,DSL,1,0,1,1,1,1,Month-to-month,1,Credit card (automatic),79.2,2854.95,0,25–36 mo,High,5,2851.2000000000003,Retained
4625-LAMOB,Male,0,0,0,44,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.4,905.55,0,37–48 mo,Low,0,897.5999999999999,Retained
0727-BMPLR,Female,1,0,0,55,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Electronic check,100.0,5509.3,1,49–60 mo,Premium,3,5500.0,Churned
0392-BZIUW,Female,0,1,0,72,1,1,Fiber optic,1,0,1,0,1,1,Two year,1,Credit card (automatic),105.0,7589.8,0,61–72 mo,Premium,4,7560.0,Retained
1038-ZAGBI,Female,0,1,1,12,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),19.8,229.6,1,0–12 mo,Low,0,237.60000000000002,Churned
6549-NNDYT,Female,0,0,0,13,0,0,DSL,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),30.85,394.1,0,13–24 mo,Low,1,401.05,Retained
3027-ZTDHO,Male,0,0,0,1,1,0,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,89.9,89.9,1,0–12 mo,High,2,89.9,Churned
0422-OHQHQ,Female,0,1,1,15,1,0,No,0,0,0,0,0,0,One year,0,Mailed check,20.55,295.95,0,13–24 mo,Low,0,308.25,Retained
6916-HIJSE,Female,0,0,0,65,1,0,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),84.85,5459.2,0,61–72 mo,High,6,5515.25,Retained
2316-ESMLS,Female,0,1,1,12,0,0,DSL,1,0,0,1,0,0,One year,0,Credit card (automatic),33.15,444.75,0,0–12 mo,Low,2,397.79999999999995,Retained
9778-OGKQZ,Male,0,1,0,72,1,1,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),92.0,6782.15,0,61–72 mo,High,6,6624.0,Retained
7408-OFWXJ,Female,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Two year,0,Credit card (automatic),89.8,6510.45,0,61–72 mo,High,6,6465.599999999999,Retained
6007-TCTST,Female,0,1,1,72,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),115.8,8476.5,0,61–72 mo,Premium,6,8337.6,Retained
2252-NKNSI,Male,0,0,1,52,1,1,DSL,1,1,0,1,1,1,Two year,1,Mailed check,85.15,4461.85,0,49–60 mo,High,5,4427.8,Retained
8713-IGZSO,Male,0,0,0,2,1,1,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,24.85,62.0,0,0–12 mo,Low,0,49.7,Retained
7905-TVXTA,Female,0,0,0,5,1,0,DSL,1,0,0,1,1,0,Month-to-month,1,Electronic check,64.35,352.65,0,0–12 mo,Medium,3,321.75,Retained
7695-PKLCZ,Female,0,0,0,68,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),20.5,1424.9,0,61–72 mo,Low,0,1394.0,Retained
2382-BCKQJ,Female,0,0,1,62,1,1,Fiber optic,0,0,1,0,1,1,One year,1,Electronic check,100.15,6413.65,1,61–72 mo,Premium,3,6209.3,Churned
8374-UULRV,Male,0,0,0,72,1,1,DSL,1,1,0,1,1,1,Two year,0,Credit card (automatic),86.05,6309.65,0,61–72 mo,High,5,6195.599999999999,Retained
2207-NHRJK,Male,0,0,0,1,1,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,50.8,50.8,1,0–12 mo,Medium,1,50.8,Churned
3224-DFQNQ,Female,0,1,0,66,1,1,Fiber optic,1,1,0,1,0,0,One year,0,Electronic check,89.0,5898.6,0,61–72 mo,High,3,5874.0,Retained
5275-PMFUT,Male,0,1,1,72,0,0,DSL,1,1,1,1,1,1,Two year,1,Credit card (automatic),64.8,4719.75,0,61–72 mo,Medium,6,4665.599999999999,Retained
4795-UXVCJ,Male,0,0,0,26,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),19.8,457.3,0,25–36 mo,Low,0,514.8000000000001,Retained
9777-IQHWP,Male,0,1,1,64,1,1,Fiber optic,1,0,1,0,0,1,Two year,0,Bank transfer (automatic),93.4,5822.3,0,61–72 mo,High,3,5977.6,Retained
0947-MUGVO,Male,1,1,0,20,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,73.65,1463.5,1,13–24 mo,High,1,1473.0,Churned
9944-HKVVB,Female,0,0,0,3,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Electronic check,95.1,307.4,1,0–12 mo,Premium,3,285.29999999999995,Churned
4124-MMETB,Male,0,0,0,22,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Credit card (automatic),94.65,2104.55,1,13–24 mo,High,2,2082.3,Churned
3671-SHRSP,Male,0,1,0,4,1,0,Fiber optic,0,0,1,1,0,0,Month-to-month,1,Mailed check,80.6,319.15,1,0–12 mo,High,2,322.4,Churned
0979-MOZQI,Male,0,1,0,62,0,0,DSL,0,0,0,1,1,0,Two year,1,Bank transfer (automatic),39.0,2337.45,0,61–72 mo,Medium,2,2418.0,Retained
2732-ISEZX,Female,0,0,0,5,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,20.5,104.3,0,0–12 mo,Low,0,102.5,Retained
3313-QKNKB,Male,0,1,0,59,1,1,Fiber optic,0,0,0,0,0,1,One year,0,Electronic check,85.55,5084.65,1,49–60 mo,High,1,5047.45,Churned
0323-XWWTN,Male,0,0,1,3,1,1,No,0,0,0,0,0,0,Two year,1,Mailed check,26.4,121.25,0,0–12 mo,Low,0,79.19999999999999,Retained
1937-OTUKY,Female,0,1,0,72,1,1,Fiber optic,1,0,1,1,1,0,Two year,1,Bank transfer (automatic),98.2,7015.9,0,61–72 mo,Premium,4,7070.400000000001,Retained
1573-LGXBA,Male,0,1,1,57,1,0,Fiber optic,0,1,1,0,1,1,One year,1,Credit card (automatic),97.55,5598.0,0,49–60 mo,Premium,4,5560.349999999999,Retained
1764-VUUMT,Male,0,0,1,66,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.95,1269.1,0,61–72 mo,Low,0,1316.7,Retained
5073-WXOYN,Female,0,0,0,60,0,0,DSL,0,1,0,0,1,1,Month-to-month,1,Electronic check,50.8,3027.4,1,49–60 mo,Medium,3,3048.0,Churned
4713-ZBURT,Male,0,0,1,45,1,1,Fiber optic,0,0,1,0,1,1,Two year,0,Bank transfer (automatic),99.7,4634.35,0,37–48 mo,Premium,3,4486.5,Retained
3050-GBUSH,Female,0,0,0,3,0,0,DSL,0,0,0,0,1,0,Month-to-month,1,Credit card (automatic),34.8,113.95,0,0–12 mo,Low,1,104.39999999999999,Retained
0207-MDKNV,Female,0,0,0,15,1,0,Fiber optic,1,0,1,1,1,1,Month-to-month,0,Electronic check,105.1,1582.75,1,13–24 mo,Premium,5,1576.5,Churned
7876-AEHIG,Female,0,0,1,51,0,0,DSL,1,0,1,1,1,1,One year,0,Bank transfer (automatic),60.15,3077.0,0,49–60 mo,Medium,5,3067.65,Retained
7945-HLKEA,Female,0,0,0,60,1,1,DSL,1,0,1,1,0,0,One year,0,Electronic check,64.75,4039.5,0,49–60 mo,Medium,3,3885.0,Retained
9342-VNIMQ,Male,0,0,0,33,1,1,DSL,0,1,0,0,0,0,Month-to-month,1,Bank transfer (automatic),54.65,1665.2,0,25–36 mo,Medium,1,1803.45,Retained
9851-KIELU,Male,0,0,0,10,1,0,Fiber optic,1,1,1,1,1,1,Month-to-month,1,Electronic check,110.1,1043.3,1,0–12 mo,Premium,6,1101.0,Churned
3523-BRGUW,Male,1,0,0,26,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),19.3,504.2,0,25–36 mo,Low,0,501.8,Retained
3908-BLSYF,Female,0,0,0,6,1,0,Fiber optic,0,0,1,0,0,1,Month-to-month,0,Electronic check,83.9,497.55,1,0–12 mo,High,2,503.40000000000003,Churned
3199-NPKCN,Female,0,1,0,67,1,1,Fiber optic,1,0,1,1,1,1,One year,1,Electronic check,111.25,7511.65,0,61–72 mo,Premium,5,7453.75,Retained
5170-PTRKA,Female,0,1,1,49,0,0,DSL,1,0,0,1,0,0,One year,1,Credit card (automatic),35.8,1782.0,0,49–60 mo,Medium,2,1754.1999999999998,Retained
4661-NJEUX,Male,0,0,0,1,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,20.05,20.05,0,0–12 mo,Low,0,20.05,Retained
2123-AGEEN,Female,1,0,0,7,1,0,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Electronic check,84.35,609.65,0,0–12 mo,High,2,590.4499999999999,Retained
1258-YMZNM,Female,1,0,0,27,1,1,Fiber optic,1,1,1,0,1,1,One year,1,Bank transfer (automatic),110.5,2857.6,0,25–36 mo,Premium,5,2983.5,Retained
0048-LUMLS,Male,0,1,1,37,1,0,Fiber optic,0,0,0,0,1,1,One year,0,Credit card (automatic),91.2,3247.55,0,37–48 mo,High,2,3374.4,Retained
7549-MYGPK,Female,0,1,1,63,1,1,Fiber optic,1,1,1,0,1,0,Month-to-month,1,Electronic check,100.55,6215.35,1,61–72 mo,Premium,4,6334.65,Churned
5898-IGSLP,Male,0,1,1,31,1,1,Fiber optic,1,0,1,1,0,0,Month-to-month,0,Electronic check,89.3,2823.0,0,25–36 mo,High,3,2768.2999999999997,Retained
3804-RVTGV,Male,0,1,1,50,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,1,Bank transfer (automatic),103.85,5017.9,1,49–60 mo,Premium,4,5192.5,Churned
6259-WJQLC,Male,1,0,0,32,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Credit card (automatic),81.1,2619.25,0,25–36 mo,High,1,2595.2,Retained
9227-LUNBG,Female,0,0,0,1,0,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,24.6,24.6,1,0–12 mo,Low,0,24.6,Churned
7997-EASSD,Female,0,1,0,63,1,1,Fiber optic,0,0,0,1,0,0,One year,1,Credit card (automatic),81.2,4965.1,0,61–72 mo,High,1,5115.6,Retained
0730-KOAVE,Male,0,0,0,30,1,1,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Credit card (automatic),94.3,2679.7,0,25–36 mo,High,3,2829.0,Retained
8975-SKGRX,Male,0,1,0,71,1,1,Fiber optic,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),116.1,8310.55,0,61–72 mo,Premium,6,8243.1,Retained
0678-RLHVP,Female,0,0,0,53,1,1,Fiber optic,0,1,1,0,1,1,Two year,0,Electronic check,105.55,5682.25,0,49–60 mo,Premium,4,5594.15,Retained
4315-MURBD,Female,0,0,0,12,1,0,Fiber optic,1,0,0,1,1,1,Month-to-month,1,Bank transfer (automatic),98.9,1120.95,1,0–12 mo,Premium,4,1186.8000000000002,Churned
2267-FPIMA,Male,0,1,0,50,1,1,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Credit card (automatic),94.4,4914.9,0,49–60 mo,High,3,4720.0,Retained
1051-GEJLJ,Female,0,0,0,2,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.5,27.55,0,0–12 mo,Low,0,39.0,Retained
9734-YWGEX,Female,0,0,0,9,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,0,Credit card (automatic),98.3,923.5,1,0–12 mo,Premium,3,884.6999999999999,Churned
2719-BDAQO,Male,0,0,0,17,1,0,Fiber optic,1,0,0,0,1,1,Month-to-month,0,Electronic check,93.85,1625.65,1,13–24 mo,High,3,1595.4499999999998,Churned
5285-MVEHD,Female,0,1,0,56,1,0,Fiber optic,1,1,1,0,1,1,One year,1,Credit card (automatic),105.6,6068.65,0,49–60 mo,Premium,5,5913.599999999999,Retained
0379-DJQHR,Male,0,1,1,67,1,0,DSL,1,1,1,0,1,1,Two year,0,Credit card (automatic),81.35,5398.6,0,61–72 mo,High,5,5450.45,Retained
0781-LKXBR,Male,1,0,0,9,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,100.5,918.6,1,0–12 mo,Premium,3,904.5,Churned
5543-QDCRY,Male,0,0,0,4,1,0,DSL,0,0,0,0,1,0,Month-to-month,1,Electronic check,56.4,234.85,0,0–12 mo,Medium,1,225.6,Retained
0297-RBCSG,Male,0,0,0,19,1,0,DSL,0,1,0,1,0,1,One year,1,Bank transfer (automatic),65.35,1231.85,0,13–24 mo,High,3,1241.6499999999999,Retained
4694-PHWFW,Female,0,0,1,8,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.95,170.9,0,0–12 mo,Low,0,159.6,Retained
0835-JKADZ,Female,0,0,0,71,1,1,Fiber optic,0,1,1,1,1,1,Two year,1,Electronic check,111.25,7984.15,0,61–72 mo,Premium,5,7898.75,Retained
1907-UBQFC,Male,1,0,0,10,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,72.85,688.65,1,0–12 mo,High,1,728.5,Churned
7508-SMHXL,Female,1,0,0,15,1,1,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Credit card (automatic),89.0,1288.3,0,13–24 mo,High,2,1335.0,Retained
3865-YIOTT,Male,0,1,1,72,1,1,Fiber optic,1,0,1,0,1,1,One year,1,Bank transfer (automatic),106.1,7848.5,0,61–72 mo,Premium,4,7639.2,Retained
5993-BQHEA,Male,0,0,0,12,1,0,No,0,0,0,0,0,0,One year,0,Credit card (automatic),20.05,267.0,0,0–12 mo,Low,0,240.60000000000002,Retained
6024-RUGGH,Male,0,1,1,72,1,1,No,0,0,0,0,0,0,Two year,1,Bank transfer (automatic),25.2,1798.9,0,61–72 mo,Low,0,1814.3999999999999,Retained
6513-EECDB,Male,1,1,0,1,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,73.55,73.55,1,0–12 mo,High,0,73.55,Churned
3956-CJUST,Female,1,0,0,23,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Bank transfer (automatic),75.4,1643.55,0,13–24 mo,High,1,1734.2,Retained
4079-WWQQQ,Male,0,0,0,72,0,0,DSL,1,1,1,1,1,1,Two year,1,Bank transfer (automatic),65.55,4807.45,0,61–72 mo,High,6,4719.599999999999,Retained
6103-BOCOU,Female,0,0,0,26,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Electronic check,80.7,2193.0,0,25–36 mo,High,1,2098.2000000000003,Retained
5149-TGWDZ,Female,0,0,0,21,1,0,Fiber optic,0,1,1,1,1,1,One year,1,Mailed check,104.55,2239.4,0,13–24 mo,Premium,5,2195.5499999999997,Retained
7471-WNSUF,Male,0,1,0,60,1,1,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),24.15,1505.9,0,49–60 mo,Low,0,1449.0,Retained
8942-DBMHZ,Male,0,0,0,12,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.45,255.35,0,0–12 mo,Low,0,245.39999999999998,Retained
4301-VVZKA,Male,0,1,0,16,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,1,Electronic check,75.4,1189.4,0,13–24 mo,High,0,1206.4,Retained
9199-PWQVC,Female,0,1,0,63,1,1,DSL,1,1,0,0,1,1,One year,1,Credit card (automatic),79.7,4786.15,0,61–72 mo,High,4,5021.1,Retained
4824-GUCBY,Female,1,0,0,22,1,0,Fiber optic,1,1,0,0,0,0,Month-to-month,0,Electronic check,81.7,1820.9,0,13–24 mo,High,2,1797.4,Retained
5393-HJZSM,Female,0,1,1,32,1,0,DSL,1,1,1,1,0,1,Month-to-month,0,Bank transfer (automatic),76.3,2404.15,0,25–36 mo,High,5,2441.6,Retained
7074-IEVOJ,Female,1,0,0,3,1,1,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,79.4,205.05,1,0–12 mo,High,1,238.20000000000002,Churned
9625-QSTYE,Female,0,0,0,13,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,81.15,952.3,1,13–24 mo,High,2,1054.95,Churned
0862-PRCBS,Female,0,1,1,68,1,1,Fiber optic,0,1,0,1,1,1,Two year,1,Credit card (automatic),103.75,7039.45,0,61–72 mo,Premium,4,7055.0,Retained
8812-ZRHFP,Female,0,1,1,30,1,0,Fiber optic,0,0,1,0,0,1,One year,0,Electronic check,86.45,2538.05,0,25–36 mo,High,2,2593.5,Retained
5146-CBVOE,Female,0,0,0,16,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,0,Bank transfer (automatic),75.1,1212.85,0,13–24 mo,High,1,1201.6,Retained
0454-OKRCT,Male,0,0,0,33,1,0,Fiber optic,0,1,0,1,0,0,Two year,0,Bank transfer (automatic),80.6,2651.1,0,25–36 mo,High,2,2659.7999999999997,Retained
5787-KXGIY,Male,0,1,0,72,1,0,No,0,0,0,0,0,0,Two year,0,Credit card (automatic),19.3,1304.8,0,61–72 mo,Low,0,1389.6000000000001,Retained
4750-ZRXIU,Female,1,0,0,4,1,1,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Electronic check,84.6,360.1,1,0–12 mo,High,1,338.4,Churned
4198-VFOEA,Female,0,0,0,12,0,0,DSL,1,0,0,1,0,0,One year,1,Mailed check,33.6,435.45,0,0–12 mo,Low,2,403.20000000000005,Retained
6630-UJZMY,Female,1,1,0,4,1,1,Fiber optic,0,0,0,0,1,0,Month-to-month,1,Electronic check,83.25,308.05,0,0–12 mo,High,1,333.0,Retained
5709-LVOEQ,Female,0,1,1,0,1,0,DSL,1,1,1,0,1,1,Two year,0,Mailed check,80.85,80.85,0,0–12 mo,High,5,0.0,Retained
6400-BWQKW,Female,0,0,0,6,1,1,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,79.05,434.5,1,0–12 mo,High,1,474.29999999999995,Churned
2692-AQCPF,Female,0,1,0,65,1,1,Fiber optic,0,1,1,1,1,1,One year,1,Credit card (automatic),108.05,7118.9,0,61–72 mo,Premium,5,7023.25,Retained
0347-UBKUZ,Female,0,0,0,15,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,19.9,320.45,0,13–24 mo,Low,0,298.5,Retained
0835-DUUIQ,Female,0,0,1,24,1,0,No,0,0,0,0,0,0,One year,0,Bank transfer (automatic),21.05,531.55,0,13–24 mo,Low,0,505.20000000000005,Retained
0811-GSDTP,Female,0,0,1,13,0,0,DSL,0,1,0,0,0,0,Month-to-month,0,Electronic check,30.15,382.2,0,13–24 mo,Low,1,391.95,Retained
7567-ECMCM,Male,0,0,0,24,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Credit card (automatic),79.85,2001.0,0,13–24 mo,High,1,1916.3999999999999,Retained
6115-ZTBFQ,Female,0,1,0,72,0,0,DSL,1,1,1,1,1,1,Two year,0,Bank transfer (automatic),65.5,4919.7,0,61–72 mo,High,6,4716.0,Retained
6353-BRMMA,Female,0,1,1,54,1,1,Fiber optic,1,1,0,0,1,1,Month-to-month,1,Bank transfer (automatic),104.1,5645.8,0,49–60 mo,Premium,4,5621.4,Retained
6680-WKXRZ,Female,0,0,0,3,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),74.4,215.8,1,0–12 mo,High,0,223.20000000000002,Churned
6231-WFGFH,Male,0,1,1,4,1,0,No,0,0,0,0,0,0,Month-to-month,1,Mailed check,20.5,77.6,0,0–12 mo,Low,0,82.0,Retained
9904-EHEVJ,Female,1,1,1,32,1,1,Fiber optic,0,0,1,0,1,0,Month-to-month,1,Mailed check,91.35,2896.55,0,25–36 mo,High,2,2923.2,Retained
7028-DVOIQ,Male,1,0,0,35,1,1,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Electronic check,99.05,3395.8,1,25–36 mo,Premium,3,3466.75,Churned
6169-PPETC,Male,0,1,1,35,1,0,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),20.5,759.35,0,25–36 mo,Low,0,717.5,Retained
4208-UFFGW,Male,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Mailed check,44.95,85.15,1,0–12 mo,Medium,0,89.9,Churned
8584-KMVXD,Female,0,0,0,8,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,0,Electronic check,75.6,535.55,0,0–12 mo,High,1,604.8,Retained
8467-WYNSR,Male,0,0,0,22,1,0,DSL,1,0,0,1,0,0,Month-to-month,0,Mailed check,55.1,1253.15,0,13–24 mo,Medium,2,1212.2,Retained
0851-DFJKB,Female,0,0,0,15,1,0,DSL,1,0,1,1,0,0,Month-to-month,0,Electronic check,58.95,955.15,0,13–24 mo,Medium,3,884.25,Retained
5382-SOYZL,Male,0,0,0,22,1,1,Fiber optic,0,0,0,0,1,1,Month-to-month,1,Electronic check,95.1,2162.6,0,13–24 mo,Premium,2,2092.2,Retained
9448-REEVD,Male,0,1,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),44.7,44.7,1,0–12 mo,Medium,0,44.7,Churned
3261-CQXOL,Female,0,1,1,71,1,1,No,0,0,0,0,0,0,Two year,0,Bank transfer (automatic),25.45,1813.35,0,61–72 mo,Low,0,1806.95,Retained
8388-FYNPZ,Male,0,0,0,4,1,0,DSL,1,0,1,0,0,0,Month-to-month,0,Electronic check,56.75,245.15,0,0–12 mo,Medium,2,227.0,Retained
4002-BQWPQ,Male,0,0,0,25,1,1,DSL,1,1,1,1,0,1,Month-to-month,0,Bank transfer (automatic),81.75,2028.8,0,25–36 mo,High,5,2043.75,Retained
5651-YLPRD,Female,0,1,1,32,1,0,Fiber optic,0,1,0,0,1,0,Month-to-month,1,Electronic check,86.1,2723.75,0,25–36 mo,High,2,2755.2,Retained
2826-DXLQO,Male,1,1,0,7,0,0,DSL,1,0,0,0,0,0,Month-to-month,0,Bank transfer (automatic),29.8,220.45,0,0–12 mo,Low,1,208.6,Retained
4378-BZYFP,Male,0,0,0,17,1,0,No,0,0,0,0,0,0,One year,1,Mailed check,20.5,365.8,0,13–24 mo,Low,0,348.5,Retained
9489-UTFKA,Male,1,1,0,8,1,0,DSL,1,0,0,0,1,0,Month-to-month,0,Bank transfer (automatic),60.9,551.95,0,0–12 mo,Medium,2,487.2,Retained
4849-PYRLQ,Female,1,0,0,56,1,1,DSL,1,0,1,1,0,1,Two year,0,Bank transfer (automatic),73.25,4054.2,0,49–60 mo,High,4,4102.0,Retained
9117-SHLZX,Male,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,1,Mailed check,45.7,45.7,1,0–12 mo,Medium,0,45.7,Churned
9889-TMAHG,Male,1,0,0,8,1,0,Fiber optic,1,0,0,1,1,1,Month-to-month,0,Credit card (automatic),100.3,832.35,1,0–12 mo,Premium,4,802.4,Churned
4541-RMRLG,Male,0,0,0,7,1,0,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,19.25,112.3,1,0–12 mo,Low,0,134.75,Churned
7764-BDPEE,Male,0,0,1,3,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,20.85,60.65,0,0–12 mo,Low,0,62.550000000000004,Retained
3429-IFLEM,Female,0,0,0,71,1,0,DSL,1,1,1,1,1,0,Two year,0,Credit card (automatic),77.35,5550.1,0,61–72 mo,High,5,5491.849999999999,Retained
